course_basic_id,succeed_course_basic_id
40101211,40100641
52100842,52100062
45100452,45103091
24100152,24100162
52100332,52100012
44101382,44102453
31101371,31101424
45100162,45101681
41101151,41100341
52100012,52100842
45103091,45101571
41100671,41101051
